inst,FF,opcode 
halt,,0 
nop,,16
rrmovq,,32
cmovle,,33
cmovl,,34
cmove,,35
cmovne,,,,36
cmovge,,,,37
cmovg,,,,38
irmovq,,,,48
rmmovq,,,,64
mrmovq,,,,80
addq,,,,96
subq,,,,97
andq,,,,98
xorq,,,,99
jmp,,,,112
jle,,,,113
jl,,,,114
je,,,,115
jne,,,,116
jge,,,,117
jg,,,,118
call,,,,128
ret,,,,144
pushq,,,,160
popq,,,,176
